NOMBRE_PASO_PE;HORA;SOLAR;EOLICO;;;;;;
97;13;0.836505368;0.751925062;;;;;;
97;14;0.767087778;0.750494479;;;;;;
97;15;0.63467798;0.71272318;;;;;;
97;16;0.451446065;0.660144541;;;;;;
97;17;0.222726339;0.543961422;;;;;;
97;18;0.020004952;0.580872198;;;;;;
97;19;0;0.653131767;;;;;;
97;20;0;0.65342535;;;;;;
97;21;0;0.648272281;;;;;;
97;22;0;0.616283838;;;;;;
97;23;0;0.568443167;;;;;;
98;0;0;0.549031407;;;;;;
98;1;0;0.551929679;;;;;;
98;2;0;0.530783119;;;;;;
98;3;0;0.528659884;;;;;;
98;4;0;0.448196936;;;;;;
98;5;0;0.457943679;;;;;;
98;6;5.69E-05;0.382119545;;;;;;
98;7;0.062059652;0.233081164;;;;;;
98;8;0.139218931;0.167267945;;;;;;
98;9;0.444939066;0.099600875;;;;;;
98;10;0.455032992;0.108391377;;;;;;
98;11;0.763300268;0.077672219;;;;;;
98;12;0.77676473;0.078503442;;;;;;
98;13;0.791366155;0.071322845;;;;;;
98;14;0.74676798;0.079537613;;;;;;
98;15;0.626818642;0.09513548;;;;;;
98;16;0.437493146;0.126424487;;;;;;
98;17;0.178917257;0.250751418;;;;;;
98;18;0.010299534;0.354089409;;;;;;
98;19;0;0.593142755;;;;;;
98;20;0;0.734090764;;;;;;
98;21;0;0.841143157;;;;;;
98;22;0;0.769356508;;;;;;
98;23;0;0.812625103;;;;;;
99;0;0;0.785781168;;;;;;
99;1;0;0.767864505;;;;;;
99;2;0;0.709854722;;;;;;
99;3;0;0.771401183;;;;;;
99;4;0;0.779108041;;;;;;
99;5;0;0.739840459;;;;;;
99;6;0.000160317;0.771620947;;;;;;
99;7;0.104130717;0.828245322;;;;;;
99;8;0.293982809;0.713741437;;;;;;
99;9;0.496009917;0.634636092;;;;;;
99;10;0.61608481;0.59532832;;;;;;
99;11;0.765783502;0.561944634;;;;;;
99;12;0.707225562;0.534724241;;;;;;
99;13;0.66273917;0.490519716;;;;;;
99;14;0.681314736;0.423533076;;;;;;
99;15;0.59656588;0.460605028;;;;;;
99;16;0.299823891;0.475622242;;;;;;
99;17;0.088947622;0.543494063;;;;;;
99;18;0.007597481;0.706498453;;;;;;
99;19;0;0.814268919;;;;;;
99;20;0;0.839778256;;;;;;
99;21;0;0.81920473;;;;;;
99;22;0;0.818897368;;;;;;
99;23;0;0.805459119;;;;;;
100;0;0;0.825082105;;;;;;
100;1;0;0.745852745;;;;;;
100;2;0;0.742500335;;;;;;
100;3;0;0.742348009;;;;;;
100;4;0;0.724528423;;;;;;
100;5;0;0.628340577;;;;;;
100;6;0;0.436874126;;;;;;
100;7;0.001090851;0.337851548;;;;;;
100;8;0.011213943;0.396338149;;;;;;
100;9;0.04608568;0.45587469;;;;;;
100;10;0.074278907;0.400199134;;;;;;
100;11;0.097710634;0.521569199;;;;;;
100;12;0.181631334;0.515390227;;;;;;
100;13;0.363696311;0.524733691;;;;;;
100;14;0.204563598;0.474782399;;;;;;
100;15;0.194216446;0.479719715;;;;;;
100;16;0.216813254;0.500052722;;;;;;
100;17;0.165866812;0.362232687;;;;;;
100;18;0.014723878;0.311788677;;;;;;
100;19;0;0.356008257;;;;;;
100;20;0;0.258299809;;;;;;
100;21;0;0.266564771;;;;;;
100;22;0;0.208294289;;;;;;
100;23;0;0.144945374;;;;;;
101;0;0;0.100221226;;;;;;
101;1;0;0.062145707;;;;;;
101;2;0;0.039306367;;;;;;
101;3;0;0.045514553;;;;;;
101;4;0;0.052596045;;;;;;
101;5;0;0.068957891;;;;;;
101;6;0;0.081810466;;;;;;
101;7;0.010142157;0.034416954;;;;;;
101;8;0.10602419;0.026322165;;;;;;
101;9;0.277605293;0.030697418;;;;;;
101;10;0.467676431;0.044190553;;;;;;
101;11;0.39280849;0.054899507;;;;;;
101;12;0.499494251;0.05052031;;;;;;
101;13;0.386229476;0.05094143;;;;;;
101;14;0.346426848;0.062476792;;;;;;
101;15;0.399761717;0.085130051;;;;;;
101;16;0.245681042;0.07488463;;;;;;
101;17;0.111222864;0.040694483;;;;;;
101;18;0.009251367;0.054058483;;;;;;
101;19;0;0.12775468;;;;;;
101;20;0;0.169245767;;;;;;
101;21;0;0.127517108;;;;;;
101;22;0;0.191681609;;;;;;
101;23;0;0.10226048;;;;;;
102;0;0;0.096882835;;;;;;
102;1;0;0.088655629;;;;;;
102;2;0;0.069371877;;;;;;
102;3;0;0.046736596;;;;;;
102;4;0;0.0372409;;;;;;
102;5;0;0.047449494;;;;;;
102;6;2.91E-06;0.063628717;;;;;;
102;7;0.029651219;0.035047008;;;;;;
102;8;0.130391251;0.01798141;;;;;;
102;9;0.368969705;0.011135198;;;;;;
102;10;0.412340324;0.013789579;;;;;;
102;11;0.649744774;0.023520234;;;;;;
102;12;0.58835024;0.023376753;;;;;;
102;13;0.624909263;0.040206522;;;;;;
102;14;0.639512476;0.038516983;;;;;;
102;15;0.581154354;0.045608751;;;;;;
102;16;0.456732507;0.034894977;;;;;;
102;17;0.179535643;0.034820683;;;;;;
102;18;0.01216806;0.031419763;;;;;;
102;19;0;0.040941432;;;;;;
102;20;0;0.164885041;;;;;;
102;21;0;0.277415355;;;;;;
102;22;0;0.256720145;;;;;;
102;23;0;0.219563719;;;;;;
