DEMANDA_TOTAL;FACTOR_SOLAR;FACTOR_EOLICO;POTENCIA_SOLAR;POTENCIA_EOLICA;DEMANDA_RESIDUAL;DEMANDA_RESIDUAL_POSITIVA
1097;0.431508303;0.689839338;107.8770758;1034.759007;-45.63608275;0
1140;0.52818427;0.610998766;132.0460675;916.498149;91.4557835;91.4557835
1171;0.622784051;0.613562171;155.6960128;920.3432565;94.96073075;94.96073075
1198;0.772085271;0.442402703;193.0213178;663.6040545;341.3746278;341.3746278
1182;0.507374611;0.34748753;126.8436528;521.231295;533.9250523;533.9250523
1149;0.491038056;0.380814284;122.759514;571.221426;455.01906;455.01906
1148;0.35396482;0.470847075;88.491205;706.2706125;353.2381825;353.2381825
1108;0.170406839;0.480096409;42.60170975;720.1446135;345.2536768;345.2536768
1153;0.017395182;0.685007262;4.3487955;1027.510893;121.1403115;121.1403115
1328;0;0.797022528;0;1195.533792;132.466208;132.466208
1333;0;0.917484207;0;1376.226311;-43.2263105;0
1289;0;0.909410637;0;1364.115956;-75.1159555;0
1179;0;0.843797963;0;1265.696945;-86.6969445;0
1050;0;0.757041678;0;1135.562517;-85.562517;0
996;0;0.502274993;0;753.4124895;242.5875105;242.5875105
901;0;0.648621564;0;972.932346;-71.932346;0
848;0;0.480432228;0;720.648342;127.351658;127.351658
805;0;0.308197522;0;462.296283;342.703717;342.703717
783;0;0.295607571;0;443.4113565;339.5886435;339.5886435
797;0;0.328375781;0;492.5636715;304.4363285;304.4363285
816;0;0.307409049;0;461.1135735;354.8864265;354.8864265
838;0.004518306;0.312280955;1.1295765;468.4214325;368.448991;368.448991
888;0.036191427;0.286992053;9.04785675;430.4880795;448.4640638;448.4640638
962;0.140086239;0.496269886;35.02155975;744.404829;182.5736113;182.5736113
995;0.4849685;0.617543012;121.242125;926.314518;-52.556643;0
1027;0.713532699;0.627705269;178.3831748;941.5579035;-92.94107825;0
1046;0.692973778;0.747952801;173.2434445;1121.929202;-249.172646;0
1050;0.541896024;0.751411366;135.474006;1127.117049;-212.591055;0
1019;0.798382792;0.737199052;199.595698;1105.798578;-286.394276;0
1000;0.648276489;0.780027416;162.0691223;1170.041124;-332.1102463;0
986;0.473110479;0.620964835;118.2776198;931.4472525;-63.72487225;0
994;0.220607952;0.525801013;55.151988;788.7015195;150.1464925;150.1464925
1058;0.008742242;0.388675211;2.1855605;583.0128165;472.801623;472.801623
1210;0;0.293017163;0;439.5257445;770.4742555;770.4742555
1246;0;0.264817736;0;397.226604;848.773396;848.773396
1216;0;0.221930511;0;332.8957665;883.1042335;883.1042335
1139;0;0.203667086;0;305.500629;833.499371;833.499371
1052;0;0.167362979;0;251.0444685;800.9555315;800.9555315
950;0;0.127202935;0;190.8044025;759.1955975;759.1955975
865;0;0.102516637;0;153.7749555;711.2250445;711.2250445
802;0;0.097776687;0;146.6650305;655.3349695;655.3349695
767;0;0.070628056;0;105.942084;661.057916;661.057916
757;0;0.095797356;0;143.696034;613.303966;613.303966
756;0;0.083573967;0;125.3609505;630.6390495;630.6390495
758;0.000221059;0.110470093;0.05526475;165.7051395;592.2395958;592.2395958
723;0.06991044;0.154573011;17.47761;231.8595165;473.6628735;473.6628735
764;0.280698554;0.183374303;70.1746385;275.0614545;418.763907;418.763907
862;0.533570714;0.095105313;133.3926785;142.6579695;585.949352;585.949352
896;0.701621347;0.151069634;175.4053368;226.604451;493.9902123;493.9902123
920;0.806504913;0.191978392;201.6262283;287.967588;430.4061838;430.4061838
924;0.847346956;0.224829618;211.836739;337.244427;374.918834;374.918834
923;0.830902282;0.242870684;207.7255705;364.306026;350.9684035;350.9684035
892;0.740269377;0.258671758;185.0673443;388.007637;318.9250188;318.9250188
882;0.620073761;0.301627296;155.0184403;452.440944;274.5406158;274.5406158
875;0.436670023;0.332759475;109.1675058;499.1392125;266.6932818;266.6932818
884;0.187972137;0.313257835;46.99303425;469.8867525;367.1202133;367.1202133
987;0.017976938;0.325567225;4.4942345;488.3508375;494.154928;494.154928
1144;0;0.350262122;0;525.393183;618.606817;618.606817
1179;0;0.416257668;0;624.386502;554.613498;554.613498
1145;0;0.431273454;0;646.910181;498.089819;498.089819
1070;0;0.400849292;0;601.273938;468.726062;468.726062
998;0;0.3546166;0;531.9249;466.0751;466.0751
912;0;0.287116288;0;430.674432;481.325568;481.325568
841;0;0.294947991;0;442.4219865;398.5780135;398.5780135
781;0;0.256366083;0;384.5491245;396.4508755;396.4508755
748;0;0.226089135;0;339.1337025;408.8662975;408.8662975
751;0;0.203638497;0;305.4577455;445.5422545;445.5422545
745;0;0.26646692;0;399.70038;345.29962;345.29962
751;0.000181412;0.331443246;0.045353;497.164869;253.789778;253.789778
736;0.074401195;0.39945424;18.60029875;599.18136;118.2183413;118.2183413
785;0.311584026;0.416401643;77.8960065;624.6024645;82.501529;82.501529
856;0.533636351;0.314311349;133.4090878;471.4670235;251.1238888;251.1238888
905;0.700696065;0.31020054;175.1740163;465.30081;264.5251738;264.5251738
923;0.808953865;0.462698823;202.2384663;694.0482345;26.71329925;26.71329925
941;0.850048132;0.665098238;212.512033;997.647357;-269.15939;0
936;0.836505368;0.751925062;209.126342;1127.887593;-401.013935;0
934;0.767087778;0.750494479;191.7719445;1125.741719;-383.513663;0
924;0.63467798;0.71272318;158.669495;1069.08477;-303.754265;0
918;0.451446065;0.660144541;112.8615163;990.2168115;-185.0783278;0
950;0.222726339;0.543961422;55.68158475;815.942133;78.37628225;78.37628225
1026;0.020004952;0.580872198;5.001238;871.308297;149.690465;149.690465
1189;0;0.653131767;0;979.6976505;209.3023495;209.3023495
1202;0;0.65342535;0;980.138025;221.861975;221.861975
1170;0;0.648272281;0;972.4084215;197.5915785;197.5915785
1095;0;0.616283838;0;924.425757;170.574243;170.574243
1001;0;0.568443167;0;852.6647505;148.3352495;148.3352495
937;0;0.549031407;0;823.5471105;113.4528895;113.4528895
852;0;0.551929679;0;827.8945185;24.1054815;24.1054815
795;0;0.530783119;0;796.1746785;-1.1746785;0
760;0;0.528659884;0;792.989826;-32.989826;0
739;0;0.448196936;0;672.295404;66.704596;66.704596
734;0;0.457943679;0;686.9155185;47.0844815;47.0844815
738;5.69E-05;0.382119545;0.014225;573.1793175;164.8064575;164.8064575
662;0.062059652;0.233081164;15.514913;349.621746;296.863341;296.863341
758;0.139218931;0.167267945;34.80473275;250.9019175;472.2933498;472.2933498
835;0.444939066;0.099600875;111.2347665;149.4013125;574.363921;574.363921
858;0.455032992;0.108391377;113.758248;162.5870655;581.6546865;581.6546865
885;0.763300268;0.077672219;190.825067;116.5083285;577.6666045;577.6666045
906;0.77676473;0.078503442;194.1911825;117.755163;594.0536545;594.0536545
910;0.791366155;0.071322845;197.8415388;106.9842675;605.1741938;605.1741938
890;0.74676798;0.079537613;186.691995;119.3064195;584.0015855;584.0015855
871;0.626818642;0.09513548;156.7046605;142.70322;571.5921195;571.5921195
875;0.437493146;0.126424487;109.3732865;189.6367305;575.989983;575.989983
897;0.178917257;0.250751418;44.72931425;376.127127;476.1435588;476.1435588
992;0.010299534;0.354089409;2.5748835;531.1341135;458.291003;458.291003
1193;0;0.593142755;0;889.7141325;303.2858675;303.2858675
1180;0;0.734090764;0;1101.136146;78.863854;78.863854
1160;0;0.841143157;0;1261.714736;-101.7147355;0
1115;0;0.769356508;0;1154.034762;-39.034762;0
1025;0;0.812625103;0;1218.937655;-193.9376545;0
923;0;0.785781168;0;1178.671752;-255.671752;0
851;0;0.767864505;0;1151.796758;-300.7967575;0
793;0;0.709854722;0;1064.782083;-271.782083;0
774;0;0.771401183;0;1157.101775;-383.1017745;0
777;0;0.779108041;0;1168.662062;-391.6620615;0
820;0;0.739840459;0;1109.760689;-289.7606885;0
895;0.000160317;0.771620947;0.04007925;1157.431421;-262.4714998;0
975;0.104130717;0.828245322;26.03267925;1242.367983;-293.4006623;0
1023;0.293982809;0.713741437;73.49570225;1070.612156;-121.1078578;0
1070;0.496009917;0.634636092;124.0024793;951.954138;-5.95661725;0
1096;0.61608481;0.59532832;154.0212025;892.99248;48.9863175;48.9863175
1138;0.765783502;0.561944634;191.4458755;842.916951;103.6371735;103.6371735
1124;0.707225562;0.534724241;176.8063905;802.0863615;145.107248;145.107248
1120;0.66273917;0.490519716;165.6847925;735.779574;218.5356335;218.5356335
1110;0.681314736;0.423533076;170.328684;635.299614;304.371702;304.371702
1098;0.59656588;0.460605028;149.14147;690.907542;257.950988;257.950988
1107;0.299823891;0.475622242;74.95597275;713.433363;318.6106643;318.6106643
1085;0.088947622;0.543494063;22.2369055;815.2410945;247.522;247.522
1164;0.007597481;0.706498453;1.89937025;1059.74768;102.3529503;102.3529503
1327;0;0.814268919;0;1221.403379;105.5966215;105.5966215
1348;0;0.839778256;0;1259.667384;88.332616;88.332616
1323;0;0.81920473;0;1228.807095;94.192905;94.192905
1225;0;0.818897368;0;1228.346052;-3.346052;0
1101;0;0.805459119;0;1208.188679;-107.1886785;0
987;0;0.825082105;0;1237.623158;-250.6231575;0
898;0;0.745852745;0;1118.779118;-220.7791175;0
826;0;0.742500335;0;1113.750503;-287.7505025;0
816;0;0.742348009;0;1113.522014;-297.5220135;0
813;0;0.724528423;0;1086.792635;-273.7926345;0
835;0;0.628340577;0;942.5108655;-107.5108655;0
948;0;0.436874126;0;655.311189;292.688811;292.688811
1005;0.001090851;0.337851548;0.27271275;506.777322;497.9499653;497.9499653
1059;0.011213943;0.396338149;2.80348575;594.5072235;461.6892908;461.6892908
1111;0.04608568;0.45587469;11.52142;683.812035;415.666545;415.666545
1138;0.074278907;0.400199134;18.56972675;600.298701;519.1315723;519.1315723
1174;0.097710634;0.521569199;24.4276585;782.3537985;367.218543;367.218543
1177;0.181631334;0.515390227;45.4078335;773.0853405;358.506826;358.506826
1159;0.363696311;0.524733691;90.92407775;787.1005365;280.9753858;280.9753858
1138;0.204563598;0.474782399;51.1408995;712.1735985;374.685502;374.685502
1133;0.194216446;0.479719715;48.5541115;719.5795725;364.866316;364.866316
1147;0.216813254;0.500052722;54.2033135;750.079083;342.7176035;342.7176035
1143;0.165866812;0.362232687;41.466703;543.3490305;558.1842665;558.1842665
1164;0.014723878;0.311788677;3.6809695;467.6830155;692.636015;692.636015
1333;0;0.356008257;0;534.0123855;798.9876145;798.9876145
1359;0;0.258299809;0;387.4497135;971.5502865;971.5502865
1332;0;0.266564771;0;399.8471565;932.1528435;932.1528435
1250;0;0.208294289;0;312.4414335;937.5585665;937.5585665
1159;0;0.144945374;0;217.418061;941.581939;941.581939
1013;0;0.100221226;0;150.331839;862.668161;862.668161
898;0;0.062145707;0;93.2185605;804.7814395;804.7814395
855;0;0.039306367;0;58.9595505;796.0404495;796.0404495
817;0;0.045514553;0;68.2718295;748.7281705;748.7281705
820;0;0.052596045;0;78.8940675;741.1059325;741.1059325
850;0;0.068957891;0;103.4368365;746.5631635;746.5631635
926;0;0.081810466;0;122.715699;803.284301;803.284301
1005;0.010142157;0.034416954;2.53553925;51.625431;950.8390298;950.8390298
1061;0.10602419;0.026322165;26.5060475;39.4832475;995.010705;995.010705
1115;0.277605293;0.030697418;69.40132325;46.046127;999.5525498;999.5525498
1154;0.467676431;0.044190553;116.9191078;66.2858295;970.7950628;970.7950628
1194;0.39280849;0.054899507;98.2021225;82.3492605;1013.448617;1013.448617
1206;0.499494251;0.05052031;124.8735628;75.780465;1005.345972;1005.345972
1184;0.386229476;0.05094143;96.557369;76.412145;1011.030486;1011.030486
1159;0.346426848;0.062476792;86.606712;93.715188;978.6781;978.6781
1148;0.399761717;0.085130051;99.94042925;127.6950765;920.3644943;920.3644943
1158;0.245681042;0.07488463;61.4202605;112.326945;984.2527945;984.2527945
1144;0.111222864;0.040694483;27.805716;61.0417245;1055.15256;1055.15256
1174;0.009251367;0.054058483;2.31284175;81.0877245;1090.599434;1090.599434
1354;0;0.12775468;0;191.63202;1162.36798;1162.36798
1369;0;0.169245767;0;253.8686505;1115.13135;1115.13135
1333;0;0.127517108;0;191.275662;1141.724338;1141.724338
1255;0;0.191681609;0;287.5224135;967.4775865;967.4775865
1163;0;0.10226048;0;153.39072;1009.60928;1009.60928
1045;0;0.096882835;0;145.3242525;899.6757475;899.6757475
930;0;0.088655629;0;132.9834435;797.0165565;797.0165565
854;0;0.069371877;0;104.0578155;749.9421845;749.9421845
839;0;0.046736596;0;70.104894;768.895106;768.895106
843;0;0.0372409;0;55.86135;787.13865;787.13865
839;0;0.047449494;0;71.174241;767.825759;767.825759
952;2.91E-06;0.063628717;0.0007275;95.4430755;856.556197;856.556197
995;0.029651219;0.035047008;7.41280475;52.570512;935.0166833;935.0166833
1058;0.130391251;0.01798141;32.59781275;26.972115;998.4300723;998.4300723
1107;0.368969705;0.011135198;92.24242625;16.702797;998.0547768;998.0547768
1146;0.412340324;0.013789579;103.085081;20.6843685;1022.230551;1022.230551
1173;0.649744774;0.023520234;162.4361935;35.280351;975.2834555;975.2834555
1201;0.58835024;0.023376753;147.08756;35.0651295;1018.847311;1018.847311
1180;0.624909263;0.040206522;156.2273158;60.309783;963.4629013;963.4629013
1169;0.639512476;0.038516983;159.878119;57.7754745;951.3464065;951.3464065
1160;0.581154354;0.045608751;145.2885885;68.4131265;946.298285;946.298285
1139;0.456732507;0.034894977;114.1831268;52.3424655;972.4744078;972.4744078
1145;0.179535643;0.034820683;44.88391075;52.2310245;1047.885065;1047.885065
1191;0.01216806;0.031419763;3.042015;47.1296445;1140.828341;1140.828341
1359;0;0.040941432;0;61.412148;1297.587852;1297.587852
1380;0;0.164885041;0;247.3275615;1132.672439;1132.672439
1338;0;0.277415355;0;416.1230325;921.8769675;921.8769675
1266;0;0.256720145;0;385.0802175;880.9197825;880.9197825
1166;0;0.219563719;0;329.3455785;836.6544215;836.6544215
1027;0;0.261432825;0;392.1492375;634.8507625;634.8507625
928;0;0.254653712;0;381.980568;546.019432;546.019432
888;0;0.222447546;0;333.671319;554.328681;554.328681
843;0;0.185247542;0;277.871313;565.128687;565.128687
840;0;0.187880106;0;281.820159;558.179841;558.179841
870;0;0.194408462;0;291.612693;578.387307;578.387307
939;0.000129258;0.188905487;0.0323145;283.3582305;655.609455;655.609455
1009;0.051892617;0.244069667;12.97315425;366.1045005;629.9223453;629.9223453
1058;0.166007653;0.137538766;41.50191325;206.308149;810.1899378;810.1899378
1107;0.269761171;0.06950181;67.44029275;104.252715;935.3069923;935.3069923
1150;0.346577929;0.039886441;86.64448225;59.8296615;1003.525856;1003.525856
1180;0.40588156;0.033156062;101.47039;49.734093;1028.795517;1028.795517
1189;0.420717913;0.021443832;105.1794783;32.165748;1051.654774;1051.654774
1174;0.366723461;0.025077179;91.68086525;37.6157685;1044.703366;1044.703366
1166;0.397925055;0.026111162;99.48126375;39.166743;1027.351993;1027.351993
1155;0.245578955;0.022505564;61.39473875;33.758346;1059.846915;1059.846915
1144;0.091701974;0.029148214;22.9254935;43.722321;1077.352186;1077.352186
